Correlation Table - 50 periods
https://www.mataf.net
Fri, 16 Jan 2026 16:25:36 +0000
pair1,pair2,5min,15min,1h,4h,day,week
USDCAD,AUDCAD,-79.1,-73.1,43,8,-15.1,0
USDCAD,EURCHF,-78.3,-67.2,6.2,65.9,-10.1,0
USDCAD,AUDNZD,-82.3,-71.7,30.7,11.6,-11.4,0
USDCAD,GBPCAD,15.7,35.9,-11.4,4.9,10.7,0
USDCAD,USDJPY,-23.5,-35.6,20.4,71.1,-1.7,0
USDCAD,GBPNZD,48,60.4,-21.4,4.7,15.7,0
USDCAD,GBPAUD,82.8,74.8,-30.8,-3.3,37,0
USDCAD,EURAUD,71.7,74.2,-33.2,14.3,50.7,0
USDCAD,EURGBP,-22.5,-17.4,8.2,37.4,51.1,0
USDCAD,EURNZD,29.3,47.2,-22.8,20.9,58.8,0
USDCAD,EURCAD,3.3,38.2,-11.5,29.1,84.8,0
USDCAD,USDCHF,55.2,19.2,49.2,81.8,77.4,0
USDCAD,USDCAD,100,100,100,100,100,0
